"age","gender","race","income","education","stratum","strata_n","m1Am","m1Bmfit","m1Bmupr","m1Bmlwr","m2Bmfit","m2Bmupr","m2Bmlwr","m2BmfitL","m2BmuprL","m2BmlwrL","m2BmF","mean_bmi","mean_obesity","rank"
"mid","male","brown","ihigh","emid","midmalebrownihighemid",584,27.6941250788817,27.7073797639131,28.2247690490238,27.2397098797006,0.250352271038622,0.294269686614323,0.214593619111496,-1.08765954762316,-0.872333977380795,-1.30248846133395,-1.21995576722885,27.7441754495996,25.6849315068493,145
"mid","male","brown","ihigh","ehigh","midmalebrownihighehigh",594,27.7921088807443,27.7819615488663,28.2498600133716,27.3193225221609,0.248599026798207,0.290435136118447,0.211650601624797,-1.09862730261121,-0.892856641510976,-1.32127949908425,-1.33289309166822,27.8467488663133,25.7575757575757,148
"mid","female","white","ilow","elow","midfemalewhiteilowelow",610,27.6199065798622,27.6074651546996,28.0805743975681,27.1266936865928,0.283322885848674,0.324220072036011,0.244463460597396,-0.929278528158034,-0.721945680608472,-1.12868194375088,-1.04865814352015,27.6638169144845,28.6885245901639,135
"mid","female","white","ilow","emid","midfemalewhiteilowemid",453,27.4576904124785,27.4640401296105,28.0032676658976,26.9851101814192,0.263294766599246,0.306390788445978,0.222502463716207,-1.03620948248246,-0.792275994190273,-1.26399095997706,-1.08227352636931,27.5050266448552,26.4900662251656,127
"mid","female","white","ilow","ehigh","midfemalewhiteilowehigh",123,26.3250729303049,26.5139928675423,27.1751828927822,25.7499947286542,0.206504947727998,0.264882728528514,0.156487025059276,-1.33930502524194,-1.04053963640642,-1.6729173214914,-1.19521085080868,26.196168346106,17.8861788617886,61
"mid","female","white","imid","elow","midfemalewhiteimidelow",467,27.8111118557849,27.8403109605189,28.3773578845283,27.292939616617,0.297378520062304,0.346042670869767,0.255928256462411,-0.853994205524526,-0.644311772444425,-1.06568545214214,-0.959359847787898,27.8819511369094,30.406852248394,151
"mid","female","white","imid","emid","midfemalewhiteimidemid",604,27.1069449419642,27.1699215014692,27.6791860143992,26.6926282672361,0.256571295859399,0.295834957660768,0.219974614929631,-1.05433746428587,-0.86194769623799,-1.26757322406143,-0.992975230637057,27.1233237590783,25.4966887417219,102
"mid","female","white","imid","ehigh","midfemalewhiteimidehigh",337,26.3555687573379,26.4944475830939,27.0535377173348,25.9292685509335,0.198098984068423,0.241948072001781,0.16117926330711,-1.39972475483504,-1.14258653080939,-1.64316471476099,-1.10591255507643,26.3115005189682,17.8041543026706,58
"mid","female","white","ihigh","elow","midfemalewhiteihighelow",221,27.6104388371274,27.6866094564588,28.3227349761374,27.0272434961931,0.269577806013627,0.326899350462531,0.218828248084897,-0.994625374198546,-0.730096865246522,-1.25736435602751,-0.999465353677452,27.7302285156396,27.1493212669683,142
"mid","female","white","ihigh","emid","midfemalewhiteihighemid",492,26.891677741554,26.959726619928,27.5088274234733,26.4023552145004,0.224908907795533,0.266445800894151,0.18626979255541,-1.23313710308781,-1.00057900989476,-1.45513076681358,-1.03308073652661,26.897376470585,21.5447154471545,86
